id,dragonid,description,name,image,background,wings,body,bodyscales,tail,ears,eyes,mouth,horns,headpiece,territory,class,attacktype,isMinted,,
46,46,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #0046,https://gateway.pinata.cloud/ipfs/QmbEEzGSX5nRfWs2uqgriFNWBkrnYY5KaLj3HGgPG9NsYN,Persian Green Background,Halloween Wings,Aqua Spiral Dragon,Bubble Wrap Scales,Quad Scale Tail,Flappy Sad Ears,Spooked Eyes,Nervous Mouth,Anchor Horns,Black Phantom Hair Headpiece,CITRCA,Aquatic Dragon,Water Gun,f,2021-10-17 18:18:44.965+05,2021-10-17 18:18:44.965+05
47,47,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #0047,https://gateway.pinata.cloud/ipfs/QmcAcGhTEHX7hpffLQbCfz4CTWx62ocYi7KGwwpDcgTwxs,Mademoiselle Background,Onyx Wings,Bloodhound Dragon,Pai Sho Scales,Red Spark Tail,Cape Buffalo Ears,Glamorous Eyes,Spicy Mouth,Maleficent Spectrum Horns,Crimson Rhino Headpiece,Argon Mountain,Firey Dragon,Red Fire,f,2021-10-17 18:18:44.966+05,2021-10-17 18:18:44.966+05
48,48,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #0048,https://gateway.pinata.cloud/ipfs/QmNQbJjGz327gx2kXi6sE2raZojqEYHSkieWL5NcazXwtK,Steel Blue Background,Golden Stroke Wings,Aqua Spiral Dragon,Buckbeaks Feather Scales,Quad Scale Tail,Bison Ears,Enlightened Eyes,Aggresive Mouth,Pudu Horns,Golden Moon Headpiece,CITRCA,Aquatic Dragon,Water Gun,f,2021-10-17 18:18:44.968+05,2021-10-17 18:18:44.968+05
49,49,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #0049,https://gateway.pinata.cloud/ipfs/QmPegHw1WkoLTM1PX9M3kgmp17SZRpj2eKW4mkpY9iQ8x2,Cupid Background,Bloodlust Wings,Dark Shadow Dragon,Pangolin Scales,Diamond Tail,Wildebeest Ears,Sleepy Eyes,Frisky Mouth,Anchor Horns,Rhino Horn Headpiece,Ashy Range,Lava Dragon,Molten Lava,f,2021-10-17 18:18:44.969+05,2021-10-17 18:18:44.969+05
50,50,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #0050,https://gateway.pinata.cloud/ipfs/QmXFoBnJGghghwBTn2YqKTfa9Sohqgx8MaHR4ESgEG1PD2,Palantinate Blue Background,Funky Green Wings,Dark Shadow Dragon,Beehive Scales,Orni Tail,Moose Horn Ears,Bugged Eyes,Satiety Mouth,Minotaur Horns,Conch Shell Headpiece,Ashy Range,Lava Dragon,Molten Lava,f,2021-10-17 18:18:44.97+05,2021-10-17 18:18:44.97+05
51,51,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #0051,https://gateway.pinata.cloud/ipfs/QmWzfP3UJyu8k9h3f6LLUg4xdvjWEtQgREtAQmns8EEaQ3,Ever Green Forest,Aquatic Green Wings,Moon Stone Dragon,Illuminious Scales,Sea Boulder Tail,Bone Ears,Astonish Eyes,Dracula Mouth,Demon Horns,Conch Shell Headpiece,Tundra Mountain,Ice Dragon,Ice Shards Breath,f,2021-10-17 18:18:44.971+05,2021-10-17 18:18:44.971+05
52,52,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #0052,https://gateway.pinata.cloud/ipfs/QmSgPSR3F2r5k8RTnYb6cjewwuaKo3g1EEG16i2CTRcL7y,Dark Violet Background,Fairy Rose Wings,Windstorm Dragon,Alligator Scales,Cat Tail,Deer Ears,Sharp Eyes,Suffering Mouth,Maleficent Spectrum Horns,Tuba Headpiece,Argon Mountain,Wind Breath,Windy Dragon,f,2021-10-17 18:18:44.978+05,2021-10-17 18:18:44.978+05
53,53,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #0053,https://gateway.pinata.cloud/ipfs/QmTaStSVfdJmmMnYRkXHQQsbsPGf9MHPSNUhNNg7xwGYYB,Royal Blue Background,Ashy Twig Wings,Smokey Sriracha Dragon,Grilled Scales,Godzilla Tail,Clenched Claw Ears,Envy Eyes,Angry Fang Mouth,Red Devil Horns,Atlan Crown Headpiece,Ranth Desert,Firey Dragon,Spicy Fire,f,2021-10-17 18:18:44.98+05,2021-10-17 18:18:44.98+05
54,54,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #0054,https://gateway.pinata.cloud/ipfs/QmVxv1q1jKPvhztvRvZyXmVXTPgw1v6nENQE7Z2Ygk2k1P,Turkish Background,Taffy Turquoise Wings,Lilac Blue Dragon,Turtle Shell Scales,Crooked Tail,Tired Minotaur Ears,Puckered Eyes,Resentful Mouth,Springbok Horns,Golden Mohawk Headpiece,Tundra Mountain,Ice Dragon,Blue Fire Breath,f,2021-10-17 18:18:44.982+05,2021-10-17 18:18:44.982+05
55,55,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #0055,https://gateway.pinata.cloud/ipfs/QmeNq7FgaqwoHRK7GBBwY7qwMt3zLBAxzrWREpS1GBydPC,Ever Green Forest,Silver Vulture Wings,Scaly Taipan Dragon,Jigsaw Scales,Triangular Snake Tail,Twirling Chameleon Ears,Puckered Eyes,Triumphant Mouth,Maleficient Horns,Carnelian Headpiece,Ranth Desert,Poisnous Dragon,Poison Bite,f,2021-10-17 18:18:44.983+05,2021-10-17 18:18:44.983+05
56,56,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #0056,https://gateway.pinata.cloud/ipfs/QmcL9CsVevHfjDzio2KQ1hkAYE212GsDcwdEdgdowQUzwy,Orchid Sunrise Background,Spotty FAYZ Wings,Scaly Taipan Dragon,Zig Zag Scales,Twine Tail,Aureolin Ears,Piqued Eyes,Angry Fang Mouth,Splinter Horns,Conch Shell Headpiece,Ranth Desert,Poisnous Dragon,Poison Bite,f,2021-10-17 18:18:44.987+05,2021-10-17 18:18:44.987+05
57,57,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #0057,https://gateway.pinata.cloud/ipfs/QmTzynozVQkHLkW4kTrrvFYEK9FZmh1L3hB43pWoTNwD7m,Golden Orange Background,Halloween Wings,Dark Shadow Dragon,Alligator Scales,Devil Scales Tail,Batarang Ears,Troubled Eyes,Phlegmatic Mouth,Moose Horns,Tuba Headpiece,Ashy Range,Lava Dragon,Molten Lava,f,2021-10-17 18:18:44.996+05,2021-10-17 18:18:44.996+05
58,58,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #0058,https://gateway.pinata.cloud/ipfs/QmVcWeZt8KJUJYzQxfd6mDsbXH3DEtCoXXRhQERmBmngNb,Peach Puff Background,Raven Wings,Snow Leopard Dragon,Obsidian Scales,Rattle Tail,Cyan Scorpion Ears,Envy Eyes,Lucky Mouth,Candy Horns,Tornado Headpiece,Tundra Mountain,Ice Dragon,Ice Shuriken Breath,f,2021-10-17 18:18:45.001+05,2021-10-17 18:18:45.001+05
59,59,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #0059,https://gateway.pinata.cloud/ipfs/QmR1NETksrhH8CyNzrf3ZbQZ3caLfSSL1EWhsnDsme2Pha,Powder Blue Background,Egyptian Teal Wings,Scaly Taipan Dragon,Aztec Scales,Charmander Tail,Yellow Batarang Ears,Scared Eyes,Annoyed Mouth,Mountain Ram Horns,Black Phantom Hair Headpiece,Ranth Desert,Poisnous Dragon,Poison Bite,f,2021-10-17 18:18:45.006+05,2021-10-17 18:18:45.006+05
60,60,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #0060,https://gateway.pinata.cloud/ipfs/QmP1qWdUbwKp9AMEwpXR5HyZR4jnjxpmWKYFM2YnkQzsy2,Pink Cyclone Background,Rouge Bat Wings,Neon Grape Dragon,Furry Scales,Flecked Scaly Tail,Parrot Beak Ears,Unamused Eyes,Aggresive Mouth,Candy Horns,Black Obsidian Headpiece,SHIRE,Venomous,Venonous Gale,f,2021-10-17 18:18:45.01+05,2021-10-17 18:18:45.01+05
61,61,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #0061,https://gateway.pinata.cloud/ipfs/QmcZ34iuRVPxQcHAbye45HmenmV6crZ23UuM1prCG6HMns,Powder Blue Background,Ashy Twig Wings,Lightning Jade Dragon,Alligator Scales,Scorpion Tail,Goat Ears,Arrogant Eyes,Gnarly Mouth,Kudu Horns,Funky Mohican Hair Headpiece,Argon Mountain,Electric Beam,Thunder Dragon,f,2021-10-17 18:18:45.012+05,2021-10-17 18:18:45.012+05
62,62,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #0062,https://gateway.pinata.cloud/ipfs/QmY8UdjkbRrSynDxJoig1CtvJECyHENwyyMFzvjgS5KQB6,Toscany Background,Asguardian Wings,Lightning Jade Dragon,Ash Scales,Median Strip Tail,Cambion Ears,Piqued Eyes,Growling Mouth,Minotaur Horns,Funky Mohican Hair Headpiece,Argon Mountain,Electric Beam,Thunder Dragon,f,2021-10-17 18:18:45.013+05,2021-10-17 18:18:45.013+05
63,63,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #0063,https://gateway.pinata.cloud/ipfs/QmT3BVPdD5MR6vRoPybBRnLtLfuij44yoWh1NtggVuv2gs,Grape Background,Pink Crescent Wings,Scaly Taipan Dragon,Checker Scales,Banana Tail,Yellow Batarang Ears,Drowsy Eyes,Jolly Mouth,Mountain Ram Horns,Black Phantom Hair Headpiece,Ranth Desert,Poisnous Dragon,Poison Bite,f,2021-10-17 18:18:45.038+05,2021-10-17 18:18:45.038+05
64,64,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #0064,https://gateway.pinata.cloud/ipfs/QmbNtV8jQMGrZdqGge2UFcxwhS6vJSdx9Q2pZBnZxVce9B,Tiffany Spring Background,Golden Darner Wings,Morion Lava Dragon,Green Vine Scales,Demonic Charade Tail,Spatula Ears,Confused Eyes,Dracula Mouth,Shadow Embrace Horns,Purple S Headpiece,Ashy Range,Lava Dragon,Volcanic Lava,f,2021-10-17 18:18:45.043+05,2021-10-17 18:18:45.043+05
65,65,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #0065,https://gateway.pinata.cloud/ipfs/QmZ917FA6XbZkNdPJ2oAoiP6L9gspXuKnVbf6WMHmKHufK,Verdun Background,Purple Prism Wings,Albino Embrace Dragon,Wicker Scales,Coral Arrow Tail,Moon Light Ears,Enraged Eyes,Melancholic Mouth,Thin Sheep Horns,Conch Shell Headpiece,ICY Doman,Ice Fire,Dual Breath,f,2021-10-17 18:18:45.055+05,2021-10-17 18:18:45.055+05
66,66,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #0066,https://gateway.pinata.cloud/ipfs/Qmbj8u9MdKrj7H9XQpRH2R3aAGpcp3dMfry8kwTXcLaQFN,Violet Whirlpool Background,Golden Darner Wings,Black Spectrum Dragon,Argyle Scales,Sea Weed Tail,Fish Gills Ears,Arrogant Eyes,Jubilant Mouth,Fire Horns,Richie Rich Headpiece,ICY Doman,Ice Fire,Dual Breath,f,2021-10-17 18:18:45.072+05,2021-10-17 18:18:45.072+05
67,67,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #0067,https://gateway.pinata.cloud/ipfs/QmPLH7y9hDcqRQgGgVnfLNw2Pf28UkcRWDw8npV94fJmL7,Lilac Background,Aquatic Green Wings,Neon Grape Dragon,Nord Shield Scales,Green Flame Tail,Green Ears,Pretty Eyes,Yelling Mouth,Moose Horns,Emerald Crown Headpiece,SHIRE,Venomous,Venonous Gale,f,2021-10-17 18:18:45.079+05,2021-10-17 18:18:45.079+05
68,68,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #0068,https://gateway.pinata.cloud/ipfs/QmUapw7L7fchvH9GVJxXS6GQ8CJ54uTDTFBF5yLdQHL3S2,Golden Orange Background,Armada Twine Wings,Lightning Jade Dragon,Horus Eye Scales,Median Strip Tail,Black Gargoyle Ears,Enlightened Eyes,Angry Fang Mouth,Nebula Horns,Emerald Crown Headpiece,Argon Mountain,Electric Beam,Thunder Dragon,f,2021-10-17 18:18:45.091+05,2021-10-17 18:18:45.091+05
69,69,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #0069,https://gateway.pinata.cloud/ipfs/QmTpCdsURn8pKUquucenUWmFwxdy8ZHQ9d1yfs8Fybdpqk,Frosted Tulip Background,Evergreen Wings,Smokey Sriracha Dragon,Firey Scales,Godzilla Tail,Injured Sheep Ears,Goo Goo Eyes,Grinning Mouth,Mountain Ram Horns,Carnelian Headpiece,Ranth Desert,Firey Dragon,Spicy Fire,f,2021-10-17 18:18:45.104+05,2021-10-17 18:18:45.104+05
70,70,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #0070,https://gateway.pinata.cloud/ipfs/QmTGhgJvxTortEQSwRNj9gupUucisDsvDUb7ngAontruQv,Pink Bloom Background,Sapphire Wings,Lightning Jade Dragon,Noodle Scales,Median Strip Tail,Double Black Ears,Goo Goo Eyes,Gnarly Mouth,Battle X Horns,Purple S Headpiece,Argon Mountain,Electric Beam,Thunder Dragon,f,2021-10-17 18:18:45.107+05,2021-10-17 18:18:45.107+05
71,71,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #0071,https://gateway.pinata.cloud/ipfs/QmfAQusmBCNDZXL1jxw9BPdnzMrV5QCuFKJYLUR3G9sQLq,Lilac Background,Crimson Bat Wings,Fuscia Daisy Dragon,Black Rose Scales,Shark Teeth Tail,Thought Bubble Ears,Stressed Eyes,Craving Mouth,Anchor Horns,Carnelian Headpiece,SHIRE,Magical,Exploding Poopcorn,f,2021-10-17 18:18:45.115+05,2021-10-17 18:18:45.115+05
72,72,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #0072,https://gateway.pinata.cloud/ipfs/QmSCfTUXegoUN2dZVZfqZtZbmKE4XD9zpid9mmab7ahpYb,Yellow Green Background,Dijon Wings,Fuscia Daisy Dragon,Chain Link Scales,Shark Teeth Tail,Butterfly Ears,Interested Eyes,Melancholic Mouth,Battle X Horns,Funky Mohican Hair Headpiece,SHIRE,Magical,Exploding Poopcorn,f,2021-10-17 18:18:45.118+05,2021-10-17 18:18:45.118+05
73,73,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #0073,https://gateway.pinata.cloud/ipfs/QmY1fW1YTrS2av65zSE9RtEqXmGuWsVCbK5qZ9cBpmScAt,Violet Blue Background,Purple Prism Wings,Scaly Taipan Dragon,Maze Scales,Banana Tail,Yellow Batarang Ears,Enthusiastic Eyes,Grinning Mouth,Fire Horns,Layered Opal Headpiece,Ranth Desert,Poisnous Dragon,Poison Bite,f,2021-10-17 18:18:45.12+05,2021-10-17 18:18:45.12+05
74,74,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #0074,https://gateway.pinata.cloud/ipfs/QmPVu5gfBKFiVpTYN8DodthCheYVH2zVjwbsb1rrGaYLqs,Khaki Background,Gargoyle Wings,Neon Grape Dragon,Swirling Scales,Green Flame Tail,Cloudy Chartreuse Ears,Bugged Eyes,Frisky Mouth,Juvenile Minotaur Horns,Crescent Spring Headpiece,SHIRE,Venomous,Venonous Gale,f,2021-10-17 18:18:45.128+05,2021-10-17 18:18:45.128+05
75,75,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #0075,https://gateway.pinata.cloud/ipfs/QmQv3izfAj7ADyheLhdCSnevgERm45rK4Ko1ieNNGj5f6E,Dark Oranges Background,Bloodlust Wings,Electro Yale Dragon,Rubik Scales,Striped GoldFish Tail,Puffy Ears,Glaring Eyes,Resolute Mouth,Maleficent Spectrum Horns,Whirlpool Headpiece,CITRCA,Aquatic Dragon,Cyclone Breath,f,2021-10-17 18:18:45.13+05,2021-10-17 18:18:45.13+05
76,76,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #0076,https://gateway.pinata.cloud/ipfs/QmWeDq9BvGBZJGxuhgEUVZZzyvMXRbprKJeZQcGP8KqtRe,Pink Bloom Background,Emeral Wings,Electro Yale Dragon,Pai Sho Scales,Bolt Spear Tail,Sad Astronaut Ears,Bewildered Eyes,Smug Mouth,Beast Horns,Amethyst Headpiece,CITRCA,Aquatic Dragon,Cyclone Breath,f,2021-10-17 18:18:45.131+05,2021-10-17 18:18:45.131+05
77,77,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #0077,https://gateway.pinata.cloud/ipfs/QmP3ZzCNDnCJpAsDJZdnVp5MyofdZ6zwSnr8siQrmfV4Jg,Ever Green Forest,Azure Wings,Bloodhound Dragon,Illuminious Scales,Bloody Cyclone Tail,Cape Buffalo Ears,Astonish Eyes,Grumpy Mouth,Maleficient Horns,Apostrophe Headpiece,Argon Mountain,Firey Dragon,Red Fire,f,2021-10-17 18:18:45.133+05,2021-10-17 18:18:45.133+05
78,78,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #0078,https://gateway.pinata.cloud/ipfs/QmUpNR2xPD9SMX9yjXXQXkn1UDwvWepDtxrvfkjzNzcme8,Green Spring Background,Egyptian Teal Wings,Black Spectrum Dragon,Buckbeaks Feather Scales,Charcoal Split Tail,Metal Spearhead Ears,Thinking Eyes,Jolly Mouth,Maleficent Spectrum Horns,Richie Rich Headpiece,ICY Doman,Ice Fire,Dual Breath,f,2021-10-17 18:18:45.138+05,2021-10-17 18:18:45.138+05
79,79,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #0079,https://gateway.pinata.cloud/ipfs/Qmb1xiXhimHRLo5ssCKN5gGggWFKRDK8NF4HMgY4d8QPJZ,Palegreen Background,Sapphire Wings,Bloodhound Dragon,Fishy Scales,True Devil Tail,Cape Buffalo Ears,Domineering Eyes,Angry Fang Mouth,Snail Shell Horns,Atlan Crown Headpiece,Argon Mountain,Firey Dragon,Red Fire,f,2021-10-17 18:18:45.143+05,2021-10-17 18:18:45.143+05
80,80,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #0080,https://gateway.pinata.cloud/ipfs/QmaCdSQFKwRjnHz7bjNFAfKheyPo9feyoUtaefkwtf84rM,Majorelle Blue Background,Onyx Wings,Black Spectrum Dragon,Horus Eye Scales,Godzilla Glowing Tail,Fish Gills Ears,Scared Eyes,Smiling Bunny Mouth,Maleficent Spectrum Horns,Whirlpool Headpiece,ICY Doman,Ice Fire,Dual Breath,f,2021-10-17 18:18:45.149+05,2021-10-17 18:18:45.149+05
81,81,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #0081,https://gateway.pinata.cloud/ipfs/QmUYsK2MVo42WnC65jPEzSiWgKAP8f1mWy3BcLccJCAqoh,Golden Orange Background,Angelic Blue Wings,Neon Grape Dragon,Leis Scales,Barbed Parakeet Tail,Parrot Beak Ears,Relieved Eyes,Talkative Mouth,Devil Horns,Crimson Rhino Headpiece,SHIRE,Venomous,Venonous Gale,f,2021-10-17 18:18:45.153+05,2021-10-17 18:18:45.153+05
82,82,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #0082,https://gateway.pinata.cloud/ipfs/QmRsnujr3CtYLbNioVxA4QU5XJavK5iVgrnq8QjdqEHtgC,Lavender Background,Jezebel Wings,Albino Embrace Dragon,Root Scales,Horny Chameleon Tail,Knuckle Ears,Stressed Eyes,Bulldog Mouth,Kudu Horns,White Rhino Headpiece,ICY Doman,Ice Fire,Dual Breath,f,2021-10-17 18:18:45.156+05,2021-10-17 18:18:45.156+05
83,83,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #0083,https://gateway.pinata.cloud/ipfs/QmehkxSAzMEZf3K9fJJJg8Noyftjc3XL284yuBkDEarTbe,Blue-gray Background,Vampire Wings,Amazonian Dragon,Smokey Distorted Scales,Bull Horn Tail,Bulbasaur Ears,Insomnia Eyes,Sigh Mouth,Devil Horns,Black Phantom Hair Headpiece,Enchanted Forest,Poisonous,Poison Strike,f,2021-10-17 18:18:45.166+05,2021-10-17 18:18:45.166+05
84,84,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #0084,https://gateway.pinata.cloud/ipfs/QmbJaqQ7RTwxSidHB8Xznnqbad4dsUJoeetgnDE9LdnwkV,Pineapple Lime Background,Gargoyle Wings,Windstorm Dragon,Pangolin Scales,Stingray Tail,Deer Ears,Weary Eyes,Angry Fang Mouth,Springbok Horns,Amethyst Headpiece,Argon Mountain,Wind Breath,Windy Dragon,f,2021-10-17 18:18:45.17+05,2021-10-17 18:18:45.17+05
